url	PMID	basename	rawImage	annotatedImage	tags
https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/25712531/	25712531	Chung-TE-2015	Chung-TE-2015.png		
https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/25712531/	25712531	Chung-TE-Fig-2-2015	Chung-TE-Fig-2-2015.png		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4237759/	25414729	Halachev-MR-2014	Halachev-MR-2014.png		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4237759/	25414729	Halachev-MR-Fig2-2014	Halachev-MR-Fig2-2014.png		
http://jid.oxfordjournals.org/content/211/12/1905.long	25576599	Lee-RS-2015	Lee-RS-2015.png		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4454571/	26039194	Ocheretina-O-2015	Ocheretina-O-2015.png		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4225241/	25371418	Quick-2014-Fig1	Quick-2014-Fig1.png		
https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/22914622/	22914622	Snitkin-ES-2012-Fig2	Snitkin-ES-2012-Fig2.png		
https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/22914622/	22914622	Snitkin-ES-2012	Snitkin-ES-2012.png		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4100711/	24788657	Torok-E-2014-Fig1	Torok-E-2014-Fig1.png		
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4100711/	24788657	Torok-E-2014-Fig2	Torok-E-2014-Fig2.png		
