paperID	url	PMID	rawImage	annotatedImage
fig001	http://nextstrain.org/ebola/	NA	Bedford-2015-EbolaNextFlu.png	
fig002	http://nextflu.org/h3n2/3y/	NA	Bedford-2015-NextFlu.png	
fig003			Chung-TE-2015.png	
fig004	https://www.ncbi.nlm.nih.gov/pubmed/24714079	24714079	Didelot-X-2015-Fig1.png	
fig005	https://www.ncbi.nlm.nih.gov/pubmed/24714079	24714079	Didelot-X-2015-Fig2.png	
fig006			Enserink-M-2015.png	
fig007			Gardy-J-2011.png	
fig008			Halachev-MR-2014.png	
fig009			Halachev-MR-Fig2-2014.png	
fig010			Lee-RS-2015.png	
fig011			Majumder-M-2015.png	
fig012			Microreact-2015-WongVkPaper.png	
fig013			Ocheretina-O-2015.png	
fig014			Parks-D-2009-Fig1.png	
fig015			Parks-D-2009-Fig2.png	
fig016			Quick-2014-Fig1.png	
fig017			Snitkin-ES-2012-Fig2.png	
fig018			Snitkin-ES-2012.png	
fig019	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4100711/	24788657	Torok-E-2014-Fig1.png	
fig020	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4100711/	24788657	Torok-E-2014-Fig2.png	
fig021			Wong-VK-2015-Fig1.png	
